label,comment
positive,চিন্তার কোনো কারন নেই আর কয়েক বছর পর আমি তোমার সাথে ওপেনিং ব্যাটিং করতে মাঠে নামবো আমাদের ওপেনিং ব্যাটিং আশা করি ভালোই হবে
positive,"আশা করছি বিসিবি পরের টেস্ট এর জন্য তোমাকে ডাকবেন,,প্লিজ আমাদের নিরাশ করো নাহ। লাস্ট ম্যাচ এর মতো একটা ইনিংস খেলে তোমার বিরুদ্ধে চুলকানিওয়ালাগুলোর মুখটা বন্ধ করে দাও প্লিজ।  খারাপ সময়ও পাশে ছিলাম,আছি,এবং থাকবো।  ভালোবাসা এবং শুভকামনা দাদা।"
offensive,"টেস্ট থেকে অবসর নিন দাদা,নয়তো টেস্টে খেলিয়ে আবারো আপনার ক্যারিয়ার নস্ট করব নান্নু প্যানেল -_-"
offensive,"হালা ডান্ডিয়া,,,ডেডা মাদারি,,তোর এই সব পালতু পূজার কারনে বাংলাদেশ দল হারে।"
positive,মা ফাতেমা যদি মুসলিম সমাজের মা হতে পারে..মা খাদিজা যদি মা হতে পারে তবে হিন্দু সমাজে কেন ও মা কালী হতে  পারে...
positive,তুমি ফিরে আসো!দেখিয়ে দাও যারা তোমাকে অযোগ্য করেছে।পারবে তুমি সৌম্ম! তুমি পারবে।
positive,বাংলাদেশের একমাত্র প্লেয়ার যার সহজাত বড় বড় ৬ মারার ক্ষমতা আছে  <3   পিউর হার্ড-হিটার! এই ইন-ফর্ম সৌম্যই পারে আমাদের বিশ্বকাপে ৩০০+ রানের ইনিংস খেলার পথ করে দিতে!   আমার সবচেয়ে পছন্দের বাংলাদেশী ব্যাটসমান সৌম্য   :)
positive,ইনশাআল্লাহ দোয়া করি অনেক ভালো খেলবেন।তবে একটু ধৈর্য  ধরে খেলবেন।প্রতিটা বাউন্স বল পুল শট খেলার চেষ্টা করবেন না।কারন অনেক বার দেখেছি আপনি বাউন্স বল পুল করতে গিয়ে টপ এইজ হয়ে আউট হয়েছেন।ঠান্ডা মেজাজে খেলবেন।আপনি যে একজন হিটার প্লেয়াট সেটা সবাইকে এবার দেখিয়ে দিবেন।দোয়া রইলো আপনার জন্য। best of luck
positive,তুমি নিয়মিত ভালো পারফর্ম করে ন্যাশনাল টিমে থিতু হও সেই প্রার্থনা করি।তুমি নাকি ফেসবুক চালাবেনা মানুষ বাজে কথা বলে দেখে।অাসলে অামি মনে করি কারো কথাকে অতিরিক্ত গুরুত্ব দেবার দরকার নেই।তুমি তোমার মত করে এগিয়ে যাও।তুমি ম্যাচ জেতানোর মত ক্রিকেটার।নিজের দিনে প্রতিপক্ষ কে দুমড়ে মুচড়ে ফেলতে পারো।তোমায় অনেক অনেক শুভ কামন জানিয়ে শেষ করছি।বাই।
offensive,"তোমাদের জন্য দুয়া আছে ১৭কোটি বাংঙালির,২কোটি রোহিঙ্গা, ও ১কোটি নোয়াখালির।নোয়াখালী বিভাগ চাই।"
positive,যারা  #সৌম্য ভাইয়াকে নিয়ে বাজে কথা নোংরা কথা বলবে....তাদের রুখে দিতে আসুন আমরা এগিয়ে যাই....সৌম্য ভাইের ফ্যানরা একসাথে হয়...?
positive,আশা করি বেস্ট টা খেলবে তুমি...কিংস সো কিংস এর মতোই খেলা চাই...নিজের ফর্মটা ধরে রেখো...নিজের প্রতি বিশ্বাস রেখো...সবসময় পাশে আছি....
positive,", নিজের যা টুকু আছে তা দিয়ে খেলে আস বস আর পারি না  সইতে I"
